route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
18992,DART,502,MANDERVILLE/LOVERS LN STA,null,3,null,663399,FFFFFF
19736,DART,503,URBAN CENTER CIRCULATOR,null,3,null,663399,FFFFFF
18993,DART,504,DOWNTOWN IRVING/NORTHLAKE COLLEGE,null,3,null,663399,FFFFFF
18994,DART,505,WEST IRVING STA./ UNV. OF DALLAS,null,3,null,663399,FFFFFF
18995,DART,506,PARK LANE / STONE CANYON,null,3,null,663399,FFFFFF
18996,DART,507,IRVING CONV STATION/DOWNTOWN IRVING,null,3,null,663399,FFFFFF
18997,DART,508,UNIV. OF DALLAS/DOWNTOWN IRVING,null,3,null,663399,FFFFFF
18998,DART,509,BELTLINE/REGENT,null,3,null,663399,FFFFFF
18999,DART,510,BELT LINE/URBAN CENTER,null,3,null,663399,FFFFFF
19000,DART,513,DOWNTOWN GARLAND FIREWHEEL TOWN CTR,null,3,null,663399,FFFFFF
19001,DART,514,WEST IRVING/CARL ROAD/183,null,3,null,663399,FFFFFF
19002,DART,515,ZOO STATION-LEDBETTER STATION,null,3,null,663399,FFFFFF
19003,DART,516,CAMP WISDOM STATION/SINGING HILLS,null,3,null,663399,FFFFFF
19004,DART,521,CITYPLACE UPTOWN STA. /NW HWY,null,3,null,663399,FFFFFF
19005,DART,522,KIEST STATION/METHODIST HOSPITAL,null,3,null,663399,FFFFFF
19006,DART,524,INWOOD/LOVE FIELD STATION,null,3,null,663399,FFFFFF
19007,DART,525,PARKLAND STATION-REGAL ROW,null,3,null,663399,FFFFFF
19008,DART,526,INWOOD/LOVE FIELD STA.-BROOKRIVER,null,3,null,663399,FFFFFF
19009,DART,527,INWOOD-LOVE FIELD/REGAL ROW,null,3,null,663399,FFFFFF
19010,DART,528,BACHMAN/URBAN CENTER STA.,null,3,null,663399,FFFFFF
19011,DART,529,INWOOD/LOVE FIELD-ROYAL LANE STA.,null,3,null,663399,FFFFFF
19012,DART,531,BAYLOR MEDICAL/FARMERS BRANCH STA.,null,3,null,663399,FFFFFF
19013,DART,532,ROYAL LN STATION/MIDWAY,null,3,null,663399,FFFFFF
19014,DART,533,FARMERS BRANCH STATION-LUNA ROAD,null,3,null,663399,FFFFFF
19015,DART,534,ADDISON/TRINITY MILLS STATON,null,3,null,663399,FFFFFF
19016,DART,535,BACHMAN/FARMERS BRANCH STA.,null,3,null,663399,FFFFFF
19017,DART,536,TRINITY MILLS STA./ADDISON,null,3,null,663399,FFFFFF
19018,DART,538,ILLINOIS STATION-LEDBETTER DR,null,3,null,663399,FFFFFF
19019,DART,541,CORINTH STATION-FAWN VALLEY,null,3,null,663399,FFFFFF
19020,DART,542,DAVIS-COCKRELL HILL PTL,null,3,null,663399,FFFFFF
19021,DART,544,FARMERS BRANCH / PARKLAND STATION,null,3,null,663399,FFFFFF
19022,DART,547,WESTMORELAND STA/REDBIRD LANE,null,3,null,663399,FFFFFF
19023,DART,549,DOWNTOW IRVING STA/WESTMORELAND STA,null,3,null,663399,FFFFFF
19024,DART,551,ARAPAHO STA/LBJ/SKILLMAN STA,null,3,null,663399,FFFFFF
